index,Year,Region,SUB_REGION,State,County,GDP (Chained $)
0,2001,Southeast,East South Central,Alabama,Autauga,954588000
1,2001,Southeast,East South Central,Alabama,Baldwin,3929753000
2,2001,Southeast,East South Central,Alabama,Barbour,813278000
3,2001,Southeast,East South Central,Alabama,Bibb,292693000
4,2001,Southeast,East South Central,Alabama,Blount,810381000
5,2001,Southeast,East South Central,Alabama,Bullock,239593000
6,2001,Southeast,East South Central,Alabama,Butler,449006000
7,2001,Southeast,East South Central,Alabama,Calhoun,3437327000
8,2001,Southeast,East South Central,Alabama,Chambers,846573000
9,2001,Southeast,East South Central,Alabama,Cherokee,391607000
10,2001,Southeast,East South Central,Alabama,Chilton,624519000
11,2001,Southeast,East South Central,Alabama,Choctaw,628888000
12,2001,Southeast,East South Central,Alabama,Clarke,675411000
13,2001,Southeast,East South Central,Alabama,Clay,320079000
14,2001,Southeast,East South Central,Alabama,Cleburne,271460000
15,2001,Southeast,East South Central,Alabama,Coffee,1011108000
16,2001,Southeast,East South Central,Alabama,Colbert,1902907000
17,2001,Southeast,East South Central,Alabama,Conecuh,298834000
18,2001,Southeast,East South Central,Alabama,Coosa,159400000
19,2001,Southeast,East South Central,Alabama,Covington,962372000
20,2001,Southeast,East South Central,Alabama,Crenshaw,266552000
21,2001,Southeast,East South Central,Alabama,Cullman,2010215000
22,2001,Southeast,East South Central,Alabama,Dale,1943789000
23,2001,Southeast,East South Central,Alabama,Dallas,1282037000
24,2001,Southeast,East South Central,Alabama,DeKalb,1659631000
25,2001,Southeast,East South Central,Alabama,Elmore,1056049000
26,2001,Southeast,East South Central,Alabama,Escambia,1176283000
27,2001,Southeast,East South Central,Alabama,Etowah,2604259000
28,2001,Southeast,East South Central,Alabama,Fayette,391772000
29,2001,Southeast,East South Central,Alabama,Franklin,786450000
30,2001,Southeast,East South Central,Alabama,Geneva,471997000
31,2001,Southeast,East South Central,Alabama,Greene,305880000
32,2001,Southeast,East South Central,Alabama,Hale,275076000
33,2001,Southeast,East South Central,Alabama,Henry,329023000
34,2001,Southeast,East South Central,Alabama,Houston,3768541000
35,2001,Southeast,East South Central,Alabama,Jackson,1544492000
