year,state,county,gdp_chained_million$
2001,Alabama,Autauga,954.59
2001,Alabama,Baldwin,3929.75
2001,Alabama,Barbour,813.28
2001,Alabama,Bibb,292.69
2001,Alabama,Blount,810.38
2001,Alabama,Bullock,239.59
2001,Alabama,Butler,449.01
2001,Alabama,Calhoun,3437.33
2001,Alabama,Chambers,846.57
2001,Alabama,Cherokee,391.61
2001,Alabama,Chilton,624.52
2001,Alabama,Choctaw,628.89
2001,Alabama,Clarke,675.41
2001,Alabama,Clay,320.08
2001,Alabama,Cleburne,271.46
2001,Alabama,Coffee,1011.11
2001,Alabama,Colbert,1902.91
2001,Alabama,Conecuh,298.83
2001,Alabama,Coosa,159.4
2001,Alabama,Covington,962.37
2001,Alabama,Crenshaw,266.55
2001,Alabama,Cullman,2010.22
2001,Alabama,Dale,1943.79
2001,Alabama,Dallas,1282.04
2001,Alabama,DeKalb,1659.63
2001,Alabama,Elmore,1056.05
2001,Alabama,Escambia,1176.28
2001,Alabama,Etowah,2604.26
2001,Alabama,Fayette,391.77
2001,Alabama,Franklin,786.45
2001,Alabama,Geneva,472.0
2001,Alabama,Greene,305.88
2001,Alabama,Hale,275.08
2001,Alabama,Henry,329.02
2001,Alabama,Houston,3768.54
2001,Alabama,Jackson,1544.49
2001,Alabama,Jefferson,37689.26
2001,Alabama,Lamar,359.62
2001,Alabama,Lauderdale,2196.45
2001,Alabama,Lawrence,672.42
2001,Alabama,Lee,3006.11
2001,Alabama,Limestone,2234.84
2001,Alabama,Lowndes,393.11
2001,Alabama,Macon,452.23
2001,Alabama,Madison,12886.12
2001,Alabama,Marengo,621.35
2001,Alabama,Marion,735.32
2001,Alabama,Marshall,2502.92
2001,Alabama,Mobile,14621.99
2001,Alabama,Monroe,801.35
2001,Alabama,Montgomery,11114.44
2001,Alabama,Morgan,4150.6
2001,Alabama,Perry,190.11
2001,Alabama,Pickens,353.87
2001,Alabama,Pike,820.5
2001,Alabama,Randolph,394.97
2001,Alabama,Russell,1131.58
2001,Alabama,St. Clair,1231.42
2001,Alabama,Shelby,5296.42
2001,Alabama,Sumter,315.29
2001,Alabama,Talladega,1922.4
2001,Alabama,Tallapoosa,923.33
2001,Alabama,Tuscaloosa,7328.23
2001,Alabama,Walker,1685.89
2001,Alabama,Washington,782.07
2001,Alabama,Wilcox,372.25
2001,Alabama,Winston,633.16
2001,Alaska,Aleutians East,189.6
2001,Alaska,Aleutians West,323.52
2001,Alaska,Anchorage,16361.47
2001,Alaska,Bethel,506.6
2001,Alaska,Bristol Bay,84.04
2001,Alaska,Denali,174.44
2001,Alaska,Dillingham,215.34
2001,Alaska,Fairbanks North Star,5882.76
2001,Alaska,Haines,72.85
2001,Alaska,Juneau,1916.5
2001,Alaska,Kenai Peninsula,2485.24
2001,Alaska,Ketchikan Gateway,696.17
2001,Alaska,Kodiak Island,623.21
2001,Alaska,Kusilvak,106.67
2001,Alaska,Lake and Peninsula,69.24
2001,Alaska,Matanuska-Susitna,1275.69
2001,Alaska,Nome,324.31
2001,Alaska,North Slope,7203.57
2001,Alaska,Northwest Arctic,658.75
2001,Alaska,Sitka,392.37
2001,Alaska,Southeast Fairbanks,419.6
2001,Alaska,Valdez-Cordova,582.78
2001,Alaska,Yakutat,29.04
2001,Alaska,Yukon-Koyukuk,451.74
2001,Arizona,Apache,2157.91
2001,Arizona,Cochise,3368.71
2001,Arizona,Coconino,4900.48
2001,Arizona,Gila,1424.91
2001,Arizona,Graham,539.84
2001,Arizona,Greenlee,1147.23
2001,Arizona,La Paz,463.47
2001,Arizona,Maricopa,145484.0
2001,Arizona,Mohave,3777.79
2001,Arizona,Navajo,2828.46
2001,Arizona,Pima,31824.59
2001,Arizona,Pinal,4136.32
2001,Arizona,Santa Cruz,1264.56
2001,Arizona,Yavapai,4414.23
2001,Arizona,Yuma,4807.28
2001,Arkansas,Arkansas,727.63
2001,Arkansas,Ashley,781.08
2001,Arkansas,Baxter,964.52
2001,Arkansas,Benton,6663.86
2001,Arkansas,Boone,1031.48
2001,Arkansas,Bradley,261.1
2001,Arkansas,Calhoun,320.92
2001,Arkansas,Carroll,657.43
2001,Arkansas,Chicot,300.6
2001,Arkansas,Clark,693.58
2001,Arkansas,Clay,368.67
2001,Arkansas,Cleburne,454.68
2001,Arkansas,Cleveland,111.17
2001,Arkansas,Columbia,687.09
2001,Arkansas,Conway,473.32
2001,Arkansas,Craighead,2814.41
2001,Arkansas,Crawford,1248.3
2001,Arkansas,Crittenden,1508.94
2001,Arkansas,Cross,426.64
2001,Arkansas,Dallas,186.72
2001,Arkansas,Desha,454.73
2001,Arkansas,Drew,461.36
2001,Arkansas,Faulkner,2161.25
2001,Arkansas,Franklin,407.5
2001,Arkansas,Fulton,144.26
2001,Arkansas,Garland,2501.17
2001,Arkansas,Grant,266.7
2001,Arkansas,Greene,949.42
2001,Arkansas,Hempstead,658.86
2001,Arkansas,Hot Spring,639.81
2001,Arkansas,Howard,554.3
2001,Arkansas,Independence,1625.63
2001,Arkansas,Izard,243.43
2001,Arkansas,Jackson,459.87
2001,Arkansas,Jefferson,3235.3
2001,Arkansas,Johnson,547.03
2001,Arkansas,Lafayette,206.19
2001,Arkansas,Lawrence,379.73
2001,Arkansas,Lee,242.28
2001,Arkansas,Lincoln,247.61
2001,Arkansas,Little River,409.0
2001,Arkansas,Logan,452.52
2001,Arkansas,Lonoke,890.19
2001,Arkansas,Madison,254.27
2001,Arkansas,Marion,232.41
2001,Arkansas,Miller,1199.31
2001,Arkansas,Mississippi,2010.22
2001,Arkansas,Monroe,210.89
2001,Arkansas,Montgomery,148.46
2001,Arkansas,Nevada,196.37
2001,Arkansas,Newton,93.95
2001,Arkansas,Ouachita,551.01
2001,Arkansas,Perry,120.66
2001,Arkansas,Phillips,562.87
2001,Arkansas,Pike,250.52
2001,Arkansas,Poinsett,549.1
2001,Arkansas,Polk,446.96
2001,Arkansas,Pope,2273.25
2001,Arkansas,Prairie,177.16
2001,Arkansas,Pulaski,21629.34
2001,Arkansas,Randolph,339.61
2001,Arkansas,St. Francis,689.94
2001,Arkansas,Saline,1405.93
2001,Arkansas,Scott,244.75
2001,Arkansas,Searcy,124.36
2001,Arkansas,Sebastian,5484.49
2001,Arkansas,Sevier,455.06
2001,Arkansas,Sharp,270.14
2001,Arkansas,Stone,203.11
2001,Arkansas,Union,2191.87
2001,Arkansas,Van Buren,252.48
2001,Arkansas,Washington,6399.37
2001,Arkansas,White,1605.45
2001,Arkansas,Woodruff,225.14
2001,Arkansas,Yell,492.96
2001,California,Alameda,80875.09
2001,California,Alpine,177.68
2001,California,Amador,1342.84
2001,California,Butte,6521.5
2001,California,Calaveras,1058.27
2001,California,Colusa,967.54
2001,California,Contra Costa,67545.73
2001,California,Del Norte,708.45
2001,California,El Dorado,5105.27
2001,California,Fresno,28226.12
2001,California,Glenn,948.24
2001,California,Humboldt,4365.13
2001,California,Imperial,5055.8
2001,California,Inyo,979.92
2001,California,Kern,27590.94
2001,California,Kings,4366.0
2001,California,Lake,1514.18
2001,California,Lassen,965.27
2001,California,Los Angeles,476894.0
2001,California,Madera,3243.48
2001,California,Marin,16442.46
2001,California,Mariposa,579.47
2001,California,Mendocino,3036.64
2001,California,Merced,5912.18
2001,California,Modoc,358.21
2001,California,Mono,829.45
2001,California,Monterey,20838.57
2001,California,Napa,7235.71
2001,California,Nevada,3153.5
2001,California,Orange,164133.0
2001,California,Placer,11966.86
2001,California,Plumas,879.68
2001,California,Riverside,46656.43
2001,California,Sacramento,61044.76
2001,California,San Benito,1611.77
2001,California,San Bernardino,53931.47
2001,California,San Diego,143669.0
2001,California,San Francisco,91647.13
2001,California,San Joaquin,20555.38
2001,California,San Luis Obispo,10845.07
2001,California,San Mateo,53159.7
2001,California,Santa Barbara,17970.39
2001,California,Santa Clara,116251.0
2001,California,Santa Cruz,10889.65
2001,California,Shasta,6068.05
2001,California,Sierra,205.0
2001,California,Siskiyou,1421.08
2001,California,Solano,14661.17
2001,California,Sonoma,20599.2
2001,California,Stanislaus,15649.4
2001,California,Sutter,2509.6
2001,California,Tehama,1467.61
2001,California,Trinity,403.63
2001,California,Tulare,11328.61
2001,California,Tuolumne,1823.07
2001,California,Ventura,36062.7
2001,California,Yolo,9286.97
2001,California,Yuba,2153.73
2001,Colorado,Adams,14209.2
2001,Colorado,Alamosa,543.6
2001,Colorado,Arapahoe,35243.77
2001,Colorado,Archuleta,382.43
2001,Colorado,Baca,186.17
2001,Colorado,Bent,166.72
2001,Colorado,Boulder,17964.93
2001,Colorado,Chaffee,489.68
2001,Colorado,Cheyenne,197.7
2001,Colorado,Clear Creek,430.97
2001,Colorado,Conejos,141.73
2001,Colorado,Costilla,89.54
2001,Colorado,Crowley,173.96
2001,Colorado,Custer,105.74
2001,Colorado,Delta,809.06
2001,Colorado,Denver,56333.97
2001,Colorado,Dolores,36.67
2001,Colorado,Douglas,6143.55
2001,Colorado,Eagle,3128.55
2001,Colorado,Elbert,364.97
2001,Colorado,El Paso,23513.72
2001,Colorado,Fremont,1212.02
2001,Colorado,Garfield,2127.58
2001,Colorado,Gilpin,562.21
2001,Colorado,Grand,633.06
2001,Colorado,Gunnison,1008.86
2001,Colorado,Hinsdale,35.78
2001,Colorado,Huerfano,244.57
2001,Colorado,Jackson,51.72
