stadium_name,team,team_name,capacity,opened,year_opened,cost
Acrisure Stadium,Pittsburgh Steelers,Steelers,68400.0,2001-10-07 00:00:00,2001,$281 Million
Allegiant Stadium,Las Vegas Raiders,Raiders,65000.0,2020-09-21 00:00:00,2020,$1.9 Billion
Arrowhead Stadium,Kansas City Chiefs,Chiefs,76416.0,1972-08-12 00:00:00,1972,$43 Million
AT&T Stadium,Dallas Cowboys,Cowboys,80000.0,2009-09-20 00:00:00,2009,$1.3 Billion
Bank of America Stadium,Carolina Panthers,Panthers,74867.0,1996-09-14 00:00:00,1996,$242 Million
Cleveland Browns Stadium,Cleveland Browns,Browns,67895.0,1999-09-12 00:00:00,1999,$290 Million
Empower Field,Denver Broncos,Broncos,76125.0,2001-09-10 00:00:00,2001,$364 Million
FedEx Field,Washington Commanders,Commanders,79000.0,1997-09-14 00:00:00,1997,$250 Million
Ford Field,Detroit Lions,Lions,65000.0,2002-09-22 00:00:00,2002,$430 Million
Gillette Stadium,New England Patriots,Patriots,65878.0,2002-09-09 00:00:00,2002,$325 Million
Hard Rock Stadium,Miami Dolphins,Dolphins,65326.0,1987-08-16 00:00:00,1987,$115 Million
Highmark Stadium,Buffalo Bills,Bills,71608.0,1973-08-17 00:00:00,1973,$22 Million
Lambeau Field,Green Bay Packers,Packers,81441.0,1959-09-29 00:00:00,1959,"$ 960,000"
Levi’s Stadium,San Francisco 49ers,49ers,68500.0,2014-09-14 00:00:00,2014,$1.3 Billion
Lincoln Financial Field,Philadelphia Eagles,Eagles,67594.0,2003-09-08 00:00:00,2003,$518 Million
Lucas Oil Stadium,Indianapolis Colts,Colts,67000.0,2008-09-07 00:00:00,2008,$720 Million
Lumen Field,Seattle Seahawks,Seahawks,68740.0,2002-09-15 00:00:00,2002,$360 Million
M&T Bank Stadium,Baltimore Ravens,Ravens,71008.0,1998-09-06 00:00:00,1998,$220 Million
Mercedes Benz Stadium,Atlanta Falcons,Falcons,71000.0,2017-09-17 00:00:00,2017,$1.5 Billion
MetLife Stadium,New York Giants,Giants,82500.0,2010-09-12 00:00:00,2010,$1.6 Billion
Nissan Stadium,Tennessee Titans,Titans,69143.0,1999-09-12 00:00:00,1999,$290 Million
NRG Stadium,Houston Texans,Texans,71795.0,2002-09-08 00:00:00,2002,$449 Million
Paycor Stadium,Cincinnati Bengals,Bengals,65515.0,2000-09-10 00:00:00,2000,$450 Million
Raymond James Stadium,Tampa Bay Buccaneers,Buccaneers,65890.0,1998-09-20 00:00:00,1998,$194 Million
SoFi Stadium,Los Angeles Chargers,Chargers,70000.0,2020-09-13 00:00:00,2020,$4.9 Billion
Soldier Field,Chicago Bears,Bears,61500.0,2003-09-26 00:00:00,2003,$600 Million
Superdome,New Orleans Saints,Saints,74295.0,1975-09-28 00:00:00,1975,$134 Million
TIAA Bank Field,Jacksonville Jaguars,Jaguars,67264.0,1995-09-18 00:00:00,1995,$134 Million
University of Phoenix Stadium,Arizona Cardinals,Cardinals,63400.0,2006-09-10 00:00:00,2006,$455 Million
US Bank Stadium,Minnesota Vikings,Vikings,66200.0,2016-09-18 00:00:00,2016,$1.1 Billion
SoFi Stadium,New York Jets,Rams,70000.0,2020-09-13 00:00:00,2020,$4.9 Billion
MetLife Stadium,New York Giants/Jets,Jets,82500.0,2010-09-12 00:00:00,2010,$1.6 Billion
