Team,County,State
Arizona Cardinals,Maricopa, Arizona
Atlanta Falcons,Fulton, Georgia
Baltimore Ravens,Baltimore, Maryland
Buffalo Bills,Erie, New York
Carolina Panthers,Mecklenburg, North Carolina
Chicago Bears,Cook, Illinois
Cincinnati Bengals,Hamilton, Ohio
Cleveland Browns,Cuyahoga, Ohio
Dallas Cowboys,Tarrant, Texas
Denver Broncos,Denver, Colorado
Detroit Lions,Wayne, Michigan
Green Bay Packers,Brown, Wisconsin
Houston Texans,Harris, Texas
Indianapolis Colts,Marion, Indiana
Jacksonville Jaguars,Duval, Florida
Kansas City Chiefs,Jackson, Missouri
Las Vegas Raiders,Clark, Nevada
Los Angeles Chargers,Los Angeles, California
Los Angeles Rams,Los Angeles, California
Miami Dolphins,Miami-Dade, Florida
Minnesota Vikings,Hennepin, Minnesota
New England Patriots,Norfolk, Massachusetts
New Orleans Saints,Orleans, Louisiana
New York Giants,Bergen, New Jersey
New York Jets,Bergen, New Jersey
Philadelphia Eagles,Philadelphia, Pennsylvania
Pittsburgh Steelers,Allegheny, Pennsylvania
San Francisco 49ers,Santa Clara, California
Seattle Seahawks,King, Washington
Tampa Bay Buccaneers,Hillsborough, Florida
Tennessee Titans,Davidson, Tennessee
Washington Commanders,Prince George's, Maryland
