"Name","Team(s)","Capacity","Opened","Turf","Cost"
"Acrisure Stadium","Pittsburgh Steelers","68,400","07/10/2001","Grass","$281 Million"
"Allegiant Stadium","Las Vegas Raiders","65,000","21/09/2020","Grass","$1.9 Billion"
"Arrowhead Stadium","Kansas City Chiefs","76,416","12/08/1972","Grass","$43 Million"
"AT&T Stadium","Dallas Cowboys","80,000","20/09/2009","FieldTurf","$1.3 Billion"
"Bank of America Stadium","Carolina Panthers","74,867","14/09/1996","Grass","$242 Million"
"Cleveland Browns Stadium","Cleveland Browns","67,895","12/09/1999","Grass","$290 Million"
"Empower Field","Denver Broncos","76,125","10/09/2001","Grass","$364 Million"
"FedEx Field","Washington Commanders","79,000","14/09/1997","Grass","$250 Million"
"Ford Field","Detroit Lions","65,000","22/09/2002","FieldTurf","$430 Million"
"Gillette Stadium","New England Patriots","65,878","09/09/2002","Fieldturf","$325 Million"
"Hard Rock Stadium","Miami Dolphins","65,326","16/08/1987","Grass","$115 Million"
"Highmark Stadium","Buffalo Bills","71,608","17/08/1973","FieldTurf","$22 Million"
"Lambeau Field","Green Bay Packers","81,441","29/09/1959","Grass","$ 960,000"
"Levi’s Stadium","San Francisco 49ers","68,500","14/09/2014","Grass","$1.3 Billion"
"Lincoln Financial Field","Philadelphia Eagles","67,594","08/09/2003","Grass","$518 Million"
"Lucas Oil Stadium","Indianapolis Colts","67,000","07/09/2008","Fieldturf","$720 Million"
"Lumen Field","Seattle Seahawks","68,740","15/09/2002","FieldTurf","$360 Million"
"M&T Bank Stadium","Baltimore Ravens","71,008","06/09/1998","Fieldturf","$220 Million"
"Mercedes Benz Stadium","Atlanta Falcons","71,000","17/09/2017","Fieldturf","$1.5 Billion"
"MetLife Stadium","New York Giants/Jets","82,500","12/09/2010","FieldTurf","$1.6 Billion"
"Nissan Stadium","Tennessee Titans","69,143","12/09/1999","Grass","$290 Million"
"NRG Stadium","Houston Texans","71,795","08/09/2002","Grass","$449 Million"
"Paycor Stadium","Cincinnati Bengals","65,515","10/09/2000","Fieldturf","$450 Million"
"Raymond James Stadium","Tampa Bay Buccaneers","65,890","20/09/1998","Grass","$194 Million"
"SoFi Stadium","Los Angeles Rams/Chargers","70,000","13/09/2020","FieldTurf","$4.9 Billion"
"Soldier Field","Chicago Bears","61,500","26/09/2003","Grass","$600 Million"
"Superdome","New Orleans Saints","74,295","28/09/1975","FieldTurf","$134 Million"
"TIAA Bank Field","Jacksonville Jaguars","67,264","18/09/1995","Grass","$134 Million"
"University of Phoenix Stadium","Arizona Cardinals","63,400","10/09/2006","Grass","$455 Million"
"US Bank Stadium","Minnesota Vikings","66,200","18/09/2016","Fieldturf","$1.1 Billion"
